"star1","imdb_rating","meta_score"
"Ezra Miller","8.0",67
"Dominique Blanchar","7.9",76
"Sessue Hayakawa","8.1",87
"Ruth Gordon","8.0",96
"Suzanne Pleshette","8.6",96
"Lee Yeong-ae","7.8",58
"Jennifer Saunders","7.7",80
"Dick Hogan","8.0",73
"F. Murray Abraham","8.1",88
"Franka Potente","7.9",68
"Cho Yeo-jeong","8.6",96
"Aurélien Recoing","7.7",89
"Kevin Bacon","7.9",84
"Jennifer Lawrence","7.7",65
"John Musker","8.0",86
"Kevin McKidd","8.1",83
"Masaki Okada","7.8",76
"John Cazale","8.0",86
"Domhnall Gleeson","7.8",55
"Matthew Edison","7.7",76
"Victor Slezak","7.6",69
"Rachel McAdams","8.1",93
"Kirsten Dunst","7.8",83
"Kiefer Sutherland","7.6",66
"Yun-Fat Chow","7.8",82
"Jeremy Renner","7.7",73
"Paul Sanchez","7.8",73
"Ash Brannon","7.9",88
"Abigail Breslin","7.6",73
"Warren Beatty","7.8",86
"Shah Rukh Khan","7.8",67
"Zachary Quinto","7.7",72
"Michael J. Fox","7.8",57
"Mónica Villa","8.1",77
"Fikret Kuskan","8.3",76
"Roy Scheider","7.7",94
"Eddie Redmayne","7.7",72
"Mía Maestro","7.8",75
"Laura Dern","8.1",68
"Slavko Stimac","8.1",76
"Anne Hathaway","7.6",73
"Frances McDormand","8.2",88
"Geoffrey Rush","8.0",63
"Scarlett Johansson","7.6",72
"Haluk Bilginer","8.1",88
"Anupam Kher","8.1",76
"Macdonald Carey","7.8",94
"Loveleen Tandan","8.0",84
"Gabrielle Anwar","8.0",59
"Teresa Wright","8.0",93
"Olga Mironova","8.3",76
"Keith David","8.1",92
"Jason Mitchell","7.8",72
"Valerie Faris","7.8",80
"Robert Walker","7.9",88
"Nimrat Kaur","7.8",76
"Morgan Freeman","8.6",65
"Walter Catlett","7.8",91
"Gene Tierney","8.0",76
"Tom Hardy","8.1",90
"Ismail Hacioglu","8.4",76
"Reda Kateb","7.9",90
"Justine Waddell","7.9",64
"Moon So-Ri","8.1",84
"John Turturro","7.7",69
"James Rebhorn","8.0",59
"Eliza Scanlen","7.8",91
"Steve Martin","7.6",72
"Irène Jacob","8.1",100
"Mark Ruffalo","8.1",93
"Jackie Coogan","8.3",76
"Guylaine Schlumberger","8.0",76
"Matthew Broderick","7.8",61
"Benedict Cumberbatch","8.0",73
"Josef Altin","7.6",82
"Melvyn Douglas","7.7",71
"Ewan McGregor","8.1",83
"Radha Mitchell","7.6",67
"Wood Harris","7.8",48
"Edmond O'Brien","7.9",97
"Choi Min-sik","8.4",77
"Rosario Dawson","7.6",68
"Diane Kruger","7.7",70
"Michael Schwartz","7.6",70
"Paul Freeman","8.4",85
"Dolores Moran","7.8",76
"Paul Reiser","8.3",84
"Jake Gyllenhaal","7.7",78
"Lee Marvin","8.1",94
"Jack Hawkins","8.3",100
"Imelda Staunton","7.8",79
"Jack Lemmon","7.7",86
"Dominic West","7.8",79
"Dexter Fletcher","8.2",66
"Joel Coen","7.6",80
"Colin Clive","7.8",95
"Lee Unkrich","7.9",88
"Eric Idle","8.2",91
"Julie Kavner","7.8",74
"Ben Affleck","8.1",79
"John Goodman","7.7",69
"Humphrey Bogart","7.8",76
"Sharon Percy","7.9",78
"Brad Pitt","8.3",69
"Jennifer Jason Leigh","7.8",68
"Julie Walters","7.7",74
"Michael Madsen","8.1",69
"Bill Nighy","7.8",79
"Carol Kane","8.0",92
"Barry Cook","7.6",71
"Patton Oswalt","8.0",96
"Richard Briers","7.6",64
"Kalina Jedrusik","7.8",86
"Jason Bateman","8.0",78
"Osamu Saka","7.9",76
"Robert De Niro","7.7",81
"Tom Helmore","8.3",100
"Steve Zahn","8.0",80
"Alexandre Rignault","7.7",90
"Harvey Korman","7.7",73
"Kyôko Kagawa","8.4",76
"Mirjana Jokovic","8.1",76
"John Cassavetes","8.0",96
"Darío Grandinetti","8.1",77
"Yami Gautam","7.8",76
"Leonor Watling","7.9",86
"Julian Sands","7.8",76
"Mark Ruffalo","8.4",68
"Gloria Swanson","8.4",76
"Tyler Hoechlin","7.7",72
"Leland Palmer","7.9",72
"Albert Rémy","8.1",76
"Nimrat Kaur","8.0",76
"Cate Blanchett","7.9",74
"Henry Bergman","8.5",96
"Domhnall Gleeson","8.0",76
"Holly Hunter","7.6",80
"Alison Whelan","7.9",97
"Fred MacMurray","8.3",95
"Lucy Davis","7.9",76
"Joe Russo","8.4",68
"Tsunehiko Kamijô","7.7",83
"Johnny Sekka","8.2",76
"Jean Gabin","8.1",76
"John Cazale","8.1",86
"Emma Watson","7.7",65
"Ed Harris","7.6",53
"Bill Paxton","7.6",77
"Brahim Hadjadj","8.1",96
"Tom Sizemore","7.7",74
"Jean-Louis Trintignant","8.1",100
"Julia Jones","7.7",73
"Alec Guinness","7.7",91
"Theodore Liscinski","7.7",85
"Tim Robbins","7.9",84
"Paul Frankeur","7.9",93
"Danai Gurira","7.6",79
"Gunnel Lindblom","8.1",76
"Josh Brolin","7.6",82
"Patrick Wilson","7.6",56
"Thomas Bo Larsen","8.0",82
"Corey Hawkins","7.8",72
"Martin Balsam","7.7",68
"Sean Penn","7.6",70
"Ayushmann Khurrana","8.3",76
"Keri Russell","7.6",79
"Matvey Novikov","7.6",86
"Srinidhi Shetty","8.2",76
"Dick Van Dyke","7.8",88
"Michel Robin","7.8",91
"Keiko Tsushima","8.6",98
"Johnny Depp","7.7",76
"Gabriel Byrne","8.5",77
"Louis Prima","7.6",65
"Jack Nicholson","8.5",85
"Danny Lee","7.8",82
"James Rebhorn","7.8",61
"Sharman Joshi","8.2",76
"Mary Ure","7.7",63
"Garrett M. Brown","7.6",66
"Kodi Smit-McPhee","7.6",79
"Joe Keaton","8.2",76
"Emma Watson","7.6",78
"Oleg Yankovskiy","8.1",76
"Tuncel Kurtiz","7.8",85
"Demet Akbag","8.1",88
"Kassie Wesley DePaiva","7.8",72
"Kim Byeong-Ok","8.4",77
"Vanessa Redgrave","7.6",82
"Robert Downey Jr.","8.0",69
"Owen Wilson","8.0",66
"James Stewart","8.1",73
"Simone Signoret","8.0",76
"John Malkovich","7.7",62
"Dara Singh","7.9",76
"David Della Rocco","7.8",44
"Edna Purviance","8.3",76
"Ram Kapoor","8.2",76
"Brendan Gleeson","7.9",71
"Jean Sorel","7.7",76
"Jürgen Prochnow","8.3",86
"Peter Lorre","8.0",96
"James Laurenson","8.1",47
"Paul Henreid","8.5",100
"Tom Hulce","8.3",88
"Ethan Coen","7.7",69
"Ben Burtt","8.4",95
"Vijay Sethupathi","8.4",76
"Sylvie Testud","7.6",66
"Will Forte","7.7",87
"Robert Downey Jr.","8.4",68
"Rajesh Abhay","8.2",76
"Victor Sjöström","8.2",88
"Marcello Mastroianni","8.0",91
"Scott Glenn","7.7",69
"Johnny Depp","7.6",67
"Ed Harris","7.6",72
"Alan Mak","8.0",75
"Alan Arkin","7.8",81
"Maxine Audley","7.7",76
"Gerard Hendrick","7.8",88
"Laura Dern","7.7",69
"Marisa Tomei","7.6",68
"Willem Dafoe","7.8",65
"Jim Backus","7.7",89
"Valeria Golino","8.0",65
"Jennifer Connelly","7.6",66
"Ray Milland","7.9",76
"Denzel Washington","7.7",47
"Boman Irani","8.1",76
"Diane Kruger","8.3",69
"Jacki Weaver","7.7",81
"Benicio Del Toro","8.3",55
"Billy Crystal","8.1",79
"Kari Sylwan","8.1",76
"Herbert Lom","7.7",91
"Henri-Jacques Huet","7.8",76
"Scott Schwartz","7.9",77
"Diane Kruger","7.8",63
"Humphrey Bogart","8.2",98
"Lembit Ulfsak","8.2",73
"Ernest Borgnine","7.7",73
"Cary Grant","7.9",83
"Ömer Faruk Sorak","8.0",76
"Stellan Skarsgård","7.8",71
"Sean Astin","7.8",62
"Jang Dong-Gun","8.1",64
"Barkhad Abdi","7.8",82
"Shameik Moore","8.4",87
"Al Pacino","8.0",86
"Jo Hartley","7.7",86
"Clive Owen","8.0",74
"Margaret Livingston","8.1",76
"Woody Harrelson","8.2",88
"Mel Gibson","7.6",77
"Woody Harrelson","7.6",36
"Daryl Hannah","8.1",69
"Véra Clouzot","8.0",76
"Guillaume Canet","7.7",70
"Billy Crystal","7.6",76
"Patricia Neal","7.7",76
"George Cukor","8.0",92
"Russell Crowe","7.8",76
"Michelle Williams","7.8",96
"Sharlto Copley","7.9",81
"John Megna","8.2",88
"Marisa Paredes","7.8",87
"James Marsden","7.7",76
"Mandy Patinkin","8.0",77
"Inge Landgut","8.3",76
"Silvia Pinal","8.1",76
"Charlie Sheen","8.1",92
"Michel Côté","7.9",81
"Denzel Washington","7.8",78
"Robert De Niro","8.5",59
"Bradley Cooper","8.0",76
"Jennifer Garner","8.0",80
"Edward Norton","7.6",68
"Mercedes Morán","7.8",75
"Taika Waititi","7.9",58
"Emily Watson","7.8",76
"Barkhad Abdirahman","7.8",82
"Prateik","8.2",76
"Eiza González","7.6",86
"John Cameron Mitchell","7.7",85
"Alejandro Jodorowsky","7.9",76
"Kate Winslet","7.6",67
"Naomi Watts","7.6",82
"Gustav Fröhlich","8.3",98
"Ethan Hawke","8.1",77
"Sushant Singh Rajput","7.9",76
"John Wray","8.0",91
"Matt Damon","8.3",70
"Magali Noël","7.9",76
"Mary-Louise Parker","7.7",64
"Birol Ünel","7.9",78
"Jane Alexander","7.8",77
"Rajkummar Rao","8.2",76
"Timothy Hutton","7.7",86
"Tom Hanks","8.1",75
"JB Blanc","7.8",61
"Altan Erkekli","8.0",76
"George Raft","8.2",98
"Humphrey Bogart","8.5",100
"Ruby Dee","8.0",93
"Madeleine Carroll","7.6",93
"Burak Yigit","7.6",77
"Clint Eastwood","8.2",85
"Madeline Kahn","8.1",77
"Ernst Jacobi","7.8",82
"Jean Dujardin","7.9",89
"Richard Haydn","8.0",63
"Daniel Prévost","7.7",73
"Dennis Hopper","7.7",76
"Sean Connery","7.7",54
"Scarlett Johansson","8.0",90
"Orlando Bloom","8.7",87
"Martin Balsam","7.9",84
"Preity Zinta","8.0",54
"Charles Chaplin","8.5",99
"Meryl Streep","7.9",83
"Joseph Fiennes","7.6",53
"Rita Hayworth","7.7",76
"Mark Hamill","8.6",90
"Virginia Mayo","8.1",76
"Rory Cochrane","7.6",78
"Claude Rains","8.5",100
"Annika Wedderkopp","8.3",77
"Mirai Shida","7.6",80
"Harvey Keitel","7.9",94
"Chris Pine","7.9",82
"Auli'i Cravalho","7.6",81
"Abdel Ahmed Ghili","8.1",76
"Laura Obiols","7.9",78
"Rooney Mara","7.7",95
